month,date,day_of_week,holiday
2,2022-02-01,火,0
2,2022-02-02,水,0
2,2022-02-03,木,0
2,2022-02-04,金,0
2,2022-02-05,土,0
2,2022-02-06,日,0
2,2022-02-07,月,0
2,2022-02-08,火,0
2,2022-02-09,水,0
2,2022-02-10,木,0
2,2022-02-11,金,1
2,2022-02-12,土,0
2,2022-02-13,日,0
2,2022-02-14,月,0
2,2022-02-15,火,0
2,2022-02-16,水,0
2,2022-02-17,木,0
2,2022-02-18,金,0
2,2022-02-19,土,0
2,2022-02-20,日,0
2,2022-02-21,月,0
2,2022-02-22,火,0
2,2022-02-23,水,1
2,2022-02-24,木,0
2,2022-02-25,金,0
2,2022-02-26,土,0
2,2022-02-27,日,0
2,2022-02-28,月,0
3,2022-03-01,火,0
3,2022-03-02,水,0
3,2022-03-03,木,0
3,2022-03-04,金,0
3,2022-03-05,土,0
3,2022-03-06,日,0
3,2022-03-07,月,0
3,2022-03-08,火,0
3,2022-03-09,水,0
3,2022-03-10,木,0
3,2022-03-11,金,0
3,2022-03-12,土,0
3,2022-03-13,日,0
3,2022-03-14,月,0
3,2022-03-15,火,0
3,2022-03-16,水,0
3,2022-03-17,木,0
3,2022-03-18,金,0
3,2022-03-19,土,0
3,2022-03-20,日,0
3,2022-03-21,月,1
3,2022-03-22,火,0
3,2022-03-23,水,0
3,2022-03-24,木,0
3,2022-03-25,金,0
3,2022-03-26,土,0
3,2022-03-27,日,0
3,2022-03-28,月,0
3,2022-03-29,火,0
3,2022-03-30,水,0
3,2022-03-31,木,0
